Name,Description,semantic
grub-mkpasswd-pbkdf2 — Generate a PBKDF2 password hash.,grub-mkpasswd-pbkdf2 generates a PBKDF2 password string suitable foruse in a GRUB configuration file.,grub-mkpasswd-pbkdf2 — Generate a PBKDF2 password hash. grub-mkpasswd-pbkdf2 generates a PBKDF2 password string suitable foruse in a GRUB configuration file.
grub-mkrelpath — Generate a relative GRUB path given an OS path.,grub-mkrelpath takes an OS filesystem path for FILE and returns a rela‐tive path suitable for use in a GRUB configuration file.,grub-mkrelpath — Generate a relative GRUB path given an OS path. grub-mkrelpath takes an OS filesystem path for FILE and returns a rela‐tive path suitable for use in a GRUB configuration file.
grub-mkrescue — Generate a GRUB rescue image using GNU Xorriso.,grub-mkrescue can be used to generate a rescue image with the GRUBbootloader.,grub-mkrescue — Generate a GRUB rescue image using GNU Xorriso. grub-mkrescue can be used to generate a rescue image with the GRUBbootloader.
grub-mkstandalone — Generate a standalone image in the selected format.,,grub-mkstandalone — Generate a standalone image in the selected format. 
grub-render-label — Render an Apple disk label.,grub-render-label renders an Apple disk label (.disk_label) file.,grub-render-label — Render an Apple disk label. grub-render-label renders an Apple disk label (.disk_label) file.
grub-script-check — Check GRUB configuration file for syntax errors.,grub-script-check verifies that a specified GRUB configuration filedoes not contain syntax errors.,grub-script-check — Check GRUB configuration file for syntax errors. grub-script-check verifies that a specified GRUB configuration filedoes not contain syntax errors.
grub-syslinux2cfg — Transform a syslinux config file into a GRUB con‐fig.,grub-syslinux2cfg builds a GRUB configuration file out of an existingsyslinux configuration file.,grub-syslinux2cfg — Transform a syslinux config file into a GRUB con‐fig. grub-syslinux2cfg builds a GRUB configuration file out of an existingsyslinux configuration file.
gslp - Format and print text using ghostscriptgsbj - Format and print text for BubbleJet printer using ghostscriptgsdj - Format and print text for DeskJet printer using ghostscriptgsdj500 - Format and print text for DeskJet 500 BubbleJet using ghost‐scriptgslj - Format and print text for LaserJet printer using ghostscript,"This utility provides functionality approximately equivalent to theUnix enscript(1) program. It prints plain text files using a singlefont. It currently handles tabs and formfeeds, but not backspaces. It","gslp - Format and print text using ghostscriptgsbj - Format and print text for BubbleJet printer using ghostscriptgsdj - Format and print text for DeskJet printer using ghostscriptgsdj500 - Format and print text for DeskJet 500 BubbleJet using ghost‐scriptgslj - Format and print text for LaserJet printer using ghostscript This utility provides functionality approximately equivalent to theUnix enscript(1) program. It prints plain text files using a singlefont. It currently handles tabs and formfeeds, but not backspaces. It"
gsettings - GSettings configuration tool,"gsettings offers a simple commandline interface to GSettings. It letsyou get, set or monitor an individual key for changes.","gsettings - GSettings configuration tool gsettings offers a simple commandline interface to GSettings. It letsyou get, set or monitor an individual key for changes."
gsnd - Run ghostscript (PostScript and PDF engine) without display,"This script simply invokes gs(1) with the -NODISPLAY flag, followed byany other arguments from the command-line.","gsnd - Run ghostscript (PostScript and PDF engine) without display This script simply invokes gs(1) with the -NODISPLAY flag, followed byany other arguments from the command-line."
soelim - interpret .so requests in groff input,soelim reads files and replaces lines of the form.so file,soelim - interpret .so requests in groff input soelim reads files and replaces lines of the form.so file
gstack - print a stack trace of a running process,"gstack attaches to the active process named by the pid on the commandline, and prints out an execution stack trace. If ELF symbols exist inthe binary (usually the case unless you have run strip(1)), then sym‐","gstack - print a stack trace of a running process gstack attaches to the active process named by the pid on the commandline, and prints out an execution stack trace. If ELF symbols exist inthe binary (usually the case unless you have run strip(1)), then sym‐"
tar - manual page for tar 1.26,"GNU `tar' saves many files together into a single tape or disk archive,and can restore individual files from the archive.","tar - manual page for tar 1.26 GNU `tar' saves many files together into a single tape or disk archive,and can restore individual files from the archive."
tbl - format tables for troff,"This manual page describes the GNU version of tbl, which is part of thegroff document formatting system. tbl compiles descriptions of tablesembedded within troff input files into commands that are understood by","tbl - format tables for troff This manual page describes the GNU version of tbl, which is part of thegroff document formatting system. tbl compiles descriptions of tablesembedded within troff input files into commands that are understood by"
gtk-query-immodules-2.0 - Input method module registration utility,"gtk-query-immodules-2.0 collects information about loadable inputmethod modules for GTK+ and writes it to the default cache filelocation, or to stdout.","gtk-query-immodules-2.0 - Input method module registration utility gtk-query-immodules-2.0 collects information about loadable inputmethod modules for GTK+ and writes it to the default cache filelocation, or to stdout."
gtk-update-icon-cache - Icon theme caching utility,gtk-update-icon-cache creates mmapable cache files for icon themes.It expects to be given the PATH to a icon theme directory containing an,gtk-update-icon-cache - Icon theme caching utility gtk-update-icon-cache creates mmapable cache files for icon themes.It expects to be given the PATH to a icon theme directory containing an
troff - the troff processor of the groff text formatting system,"This manual page describes the GNU version of troff. It is part of thegroff document formatting system. It is functionally compatible withUNIX troff, but has many extensions, see groff_diff(7). Usually it","troff - the troff processor of the groff text formatting system This manual page describes the GNU version of troff. It is part of thegroff document formatting system. It is functionally compatible withUNIX troff, but has many extensions, see groff_diff(7). Usually it"
"gzip, gunzip, zcat - compress or expand files","Gzip reduces the size of the named files using Lempel-Ziv coding(LZ77). Whenever possible, each file is replaced by one with theextension .gz, while keeping the same ownership modes, access and modi‐","gzip, gunzip, zcat - compress or expand files Gzip reduces the size of the named files using Lempel-Ziv coding(LZ77). Whenever possible, each file is replaced by one with theextension .gz, while keeping the same ownership modes, access and modi‐"
gzexe - compress executable files in place,The gzexe utility allows you to compress executables in place and havethem automatically uncompress and execute when you run them (at apenalty in performance). For example if you execute ``gzexe,gzexe - compress executable files in place The gzexe utility allows you to compress executables in place and havethem automatically uncompress and execute when you run them (at apenalty in performance). For example if you execute ``gzexe
h2ph - convert .h C header files to .ph Perl header files,h2ph converts any C header files specified to the corresponding Perlheader file format. It is most easily run while in /usr/include:,h2ph - convert .h C header files to .ph Perl header files h2ph converts any C header files specified to the corresponding Perlheader file format. It is most easily run while in /usr/include:
h2xs - convert .h C header files to Perl extensions,h2xs builds a Perl extension from C header files. The extension willinclude functions which can be used to retrieve the value of any#define statement which was in the C header files.,h2xs - convert .h C header files to Perl extensions h2xs builds a Perl extension from C header files. The extension willinclude functions which can be used to retrieve the value of any#define statement which was in the C header files.
hesinfo - find out what is stored in the Hesiod database,"hesinfo takes two arguments, a name to be resolved and a string, knownas a HesiodNameType. It then prints the information returned by theHesiod nameserver.","hesinfo - find out what is stored in the Hesiod database hesinfo takes two arguments, a name to be resolved and a string, knownas a HesiodNameType. It then prints the information returned by theHesiod nameserver."
"hexdump - display file contents in ascii, decimal, hexadecimal, oroctal","The hexdump utility is a filter which displays the specified files, orstandard input if no files are specified, in a user-specified format.","hexdump - display file contents in ascii, decimal, hexadecimal, oroctal The hexdump utility is a filter which displays the specified files, orstandard input if no files are specified, in a user-specified format."
host - DNS lookup utility,"host is a simple utility for performing DNS lookups. It is normallyused to convert names to IP addresses and vice versa. When no argumentsor options are given, host prints a short summary of its command line","host - DNS lookup utility host is a simple utility for performing DNS lookups. It is normallyused to convert names to IP addresses and vice versa. When no argumentsor options are given, host prints a short summary of its command line"
hostid - print the numeric identifier for the current host,Print the numeric identifier (in hexadecimal) for the current host.--help display this help and exit,hostid - print the numeric identifier for the current host Print the numeric identifier (in hexadecimal) for the current host.--help display this help and exit
hostnamectl - Control the system hostname,hostnamectl may be used to query and change the system hostname andrelated settings.,hostnamectl - Control the system hostname hostnamectl may be used to query and change the system hostname andrelated settings.
"hunspell - spell checker, stemmer and morphological analyzer","Hunspell is fashioned after the Ispell program. The most common usageis ""hunspell"" or ""hunspell filename"". Without filename parameter, hun‐spell checks the standard input. Typing ""cat"" and ""exsample"" in two","hunspell - spell checker, stemmer and morphological analyzer Hunspell is fashioned after the Ispell program. The most common usageis ""hunspell"" or ""hunspell filename"". Without filename parameter, hun‐spell checks the standard input. Typing ""cat"" and ""exsample"" in two"
setarch - change reported architecture in new program environment andset personality flags,"setarch This utility currently only affects the output of uname -m. Forexample, on an AMD64 system, running 'setarch i386 program' will cause'program' to see i686 (or other relevant arch) instead of x86_64 as","setarch - change reported architecture in new program environment andset personality flags setarch This utility currently only affects the output of uname -m. Forexample, on an AMD64 system, running 'setarch i386 program' will cause'program' to see i686 (or other relevant arch) instead of x86_64 as"
iconv - convert text from one character encoding to another,"The iconv program reads in text in one encoding and outputs the text inanother encoding. If no input files are given, or if it is given as adash (-), iconv reads from standard input. If no output file is given,","iconv - convert text from one character encoding to another The iconv program reads in text in one encoding and outputs the text inanother encoding. If no input files are given, or if it is given as adash (-), iconv reads from standard input. If no output file is given,"
id - print real and effective user and group IDs,"Print user and group information for the specified USER, or (when USERomitted) for the current user.","id - print real and effective user and group IDs Print user and group information for the specified USER, or (when USERomitted) for the current user."
idlj - Generates Java bindings for a specified Interface DefinitionLanguage (IDL) file.,"The IDL-to-Java Compiler generates the Java bindings for a specifiedIDL file. For binding details, see Java IDL: IDL to Java LanguageMapping at","idlj - Generates Java bindings for a specified Interface DefinitionLanguage (IDL) file. The IDL-to-Java Compiler generates the Java bindings for a specifiedIDL file. For binding details, see Java IDL: IDL to Java LanguageMapping at"
idn - Internationalized Domain Names command line tool,"Internationalized Domain Name (IDN) convert STRINGS, or standard input.Command line interface to the internationalized domain name library.","idn - Internationalized Domain Names command line tool Internationalized Domain Name (IDN) convert STRINGS, or standard input.Command line interface to the internationalized domain name library."
igawk - gawk with include files,Igawk is a simple shell script that adds the ability to have ``includefiles'' to gawk(1).,igawk - gawk with include files Igawk is a simple shell script that adds the ability to have ``includefiles'' to gawk(1).
info - read Info documents,Read documentation in Info format.,info - read Info documents Read documentation in Info format.
infocmp - compare or print out terminfo descriptions,"infocmp can be used to compare a binary terminfo entry with other ter‐minfo entries, rewrite a terminfo description to take advantage of theuse= terminfo field, or print out a terminfo description from the","infocmp - compare or print out terminfo descriptions infocmp can be used to compare a binary terminfo entry with other ter‐minfo entries, rewrite a terminfo description to take advantage of theuse= terminfo field, or print out a terminfo description from the"
infokey - compile customizations for Info,Compile infokey source file to infokey file. Reads INPUT-FILE (default$HOME/.infokey) and writes compiled key file to (by default)$HOME/.info.,infokey - compile customizations for Info Compile infokey source file to infokey file. Reads INPUT-FILE (default$HOME/.infokey) and writes compiled key file to (by default)$HOME/.info.
infotocap - convert a terminfo description into a termcap description,"infotocap looks in each given text file for terminfo descriptions. Foreach terminfo description found, an equivalent termcap description iswritten to standard output. Terminfo use capabilities are translated","infotocap - convert a terminfo description into a termcap description infotocap looks in each given text file for terminfo descriptions. Foreach terminfo description found, an equivalent termcap description iswritten to standard output. Terminfo use capabilities are translated"
install - copy files and set attributes,"This install program copies files (often just compiled) into destina‐tion locations you choose. If you want to download and install aready-to-use package on a GNU/Linux system, you should instead be using","install - copy files and set attributes This install program copies files (often just compiled) into destina‐tion locations you choose. If you want to download and install aready-to-use package on a GNU/Linux system, you should instead be using"
instmodsh - A shell to examine installed modules,"A little interface to ExtUtils::Installed to examine installed modules,validate your packlists and even create a tarball from an installedmodule.","instmodsh - A shell to examine installed modules A little interface to ExtUtils::Installed to examine installed modules,validate your packlists and even create a tarball from an installedmodule."
ionice - set or get process I/O scheduling class and priority,"This program sets or gets the I/O scheduling class and priority for aprogram. If no arguments or just -p is given, ionice will query thecurrent I/O scheduling class and priority for that process.","ionice - set or get process I/O scheduling class and priority This program sets or gets the I/O scheduling class and priority for aprogram. If no arguments or just -p is given, ionice will query thecurrent I/O scheduling class and priority for that process."
iostat - Report Central Processing Unit (CPU) statistics and input/out‐put statistics for devices and partitions.,The iostat command is used for monitoring system input/output deviceloading by observing the time the devices are active in relation totheir average transfer rates. The iostat command generates reports that,iostat - Report Central Processing Unit (CPU) statistics and input/out‐put statistics for devices and partitions. The iostat command is used for monitoring system input/output deviceloading by observing the time the devices are active in relation totheir average transfer rates. The iostat command generates reports that
ipa-getcert,"The ipa-getcert tool issues requests to a org.fedorahosted.certmongerservice on behalf of the invoking user. It can ask the service tobegin enrollment, optionally generating a key pair to use, it can ask","ipa-getcert The ipa-getcert tool issues requests to a org.fedorahosted.certmongerservice on behalf of the invoking user. It can ask the service tobegin enrollment, optionally generating a key pair to use, it can ask"
ipa - IPA command-line interface,"IPA is an integrated security information management solution based on389 Directory Server (formerly know as Fedora Directory Server), MITKerberos, Dogtag Certificate System, NTP and DNS. It includes a web","ipa - IPA command-line interface IPA is an integrated security information management solution based on389 Directory Server (formerly know as Fedora Directory Server), MITKerberos, Dogtag Certificate System, NTP and DNS. It includes a web"
ipcalc - perform simple manipulation of IP addresses,ipcalc provides a simple way to calculate IP information for a host.The various options specify what information ipcalc should display onstandard out. Multiple options may be specified. An IP address to,ipcalc - perform simple manipulation of IP addresses ipcalc provides a simple way to calculate IP information for a host.The various options specify what information ipcalc should display onstandard out. Multiple options may be specified. An IP address to
ipcmk - create various ipc resources,"ipcmk allows you to create shared memory segments, message queues orsemaphore arrays.","ipcmk - create various ipc resources ipcmk allows you to create shared memory segments, message queues orsemaphore arrays."
"ipcrm - remove a message queue, semaphore set or shared memory id","ipcrm removes System V interprocess communication (IPC) objects andassociated data structures from the system. In order to delete suchobjects, you must be superuser, or the creator or owner of the object.","ipcrm - remove a message queue, semaphore set or shared memory id ipcrm removes System V interprocess communication (IPC) objects andassociated data structures from the system. In order to delete suchobjects, you must be superuser, or the creator or owner of the object."
ipcs - provide information on IPC facilities,ipcs provides information on the inter-process communication facilitiesfor which the calling process has read access.,ipcs - provide information on IPC facilities ipcs provides information on the inter-process communication facilitiesfor which the calling process has read access.
iptables-xml — Convert iptables-save format to XML,iptables-xml is used to convert the output of iptables-save into aneasily manipulatable XML format to STDOUT. Use I/O-redirection pro‐vided by your shell to write to a file.,iptables-xml — Convert iptables-save format to XML iptables-xml is used to convert the output of iptables-save into aneasily manipulatable XML format to STDOUT. Use I/O-redirection pro‐vided by your shell to write to a file.
isosize - output the length of an iso9660 filesystem,This command outputs the length of an iso9660 filesystem that is con‐tained in the specified file. This file may be a normal file or ablock device (e.g. /dev/hdd or /dev/sr0). In the absence of any,isosize - output the length of an iso9660 filesystem This command outputs the length of an iso9660 filesystem that is con‐tained in the specified file. This file may be a normal file or ablock device (e.g. /dev/hdd or /dev/sr0). In the absence of any
jar - Manipulates Java Archive (JAR) files.,"The jar command is a general-purpose archiving and compression tool,based on ZIP and the ZLIB compression format. However, the jar commandwas designed mainly to package Java applets or applications into a","jar - Manipulates Java Archive (JAR) files. The jar command is a general-purpose archiving and compression tool,based on ZIP and the ZLIB compression format. However, the jar commandwas designed mainly to package Java applets or applications into a"
jarsigner - Signs and verifies Java Archive (JAR) files.,The jarsigner tool has two purposes:· To sign Java Archive (JAR) files.,jarsigner - Signs and verifies Java Archive (JAR) files. The jarsigner tool has two purposes:· To sign Java Archive (JAR) files.
java - Launches a Java application.,"The java command starts a Java application. It does this by startingthe Java Runtime Environment (JRE), loading the specified class, andcalling that class's main() method. The method must be declared public","java - Launches a Java application. The java command starts a Java application. It does this by startingthe Java Runtime Environment (JRE), loading the specified class, andcalling that class's main() method. The method must be declared public"
javac - Reads Java class and interface definitions and compiles theminto bytecode and class files.,"The javac command reads class and interface definitions, written in theJava programming language, and compiles them into bytecode class files.The javac command can also process annotations in Java source files and","javac - Reads Java class and interface definitions and compiles theminto bytecode and class files. The javac command reads class and interface definitions, written in theJava programming language, and compiles them into bytecode class files.The javac command can also process annotations in Java source files and"
javadoc - Generates HTML pages of API documentation from Java sourcefiles.,"The javadoc command parses the declarations and documentation commentsin a set of Java source files and produces a corresponding set of HTMLpages that describe (by default) the public and protected classes,","javadoc - Generates HTML pages of API documentation from Java sourcefiles. The javadoc command parses the declarations and documentation commentsin a set of Java source files and produces a corresponding set of HTMLpages that describe (by default) the public and protected classes,"
javah - Generates C header and source files from a Java class.,The javah command generates C header and source files that are neededto implement native methods. The generated header and source files areused by C programs to reference an object's instance variables from,javah - Generates C header and source files from a Java class. The javah command generates C header and source files that are neededto implement native methods. The generated header and source files areused by C programs to reference an object's instance variables from
javap - Disassembles one or more class files.,"The javap command disassembles one or more class files. The outputdepends on the options used. When no options are used, then the javapcommand prints the package, protected and public fields, and methods of","javap - Disassembles one or more class files. The javap command disassembles one or more class files. The outputdepends on the options used. When no options are used, then the javapcommand prints the package, protected and public fields, and methods of"
jcmd - Sends diagnostic command requests to a running Java VirtualMachine (JVM).,"The jcmd utility is used to send diagnostic command requests to theJVM. It must be used on the same machine on which the JVM is running,and have the same effective user and group identifiers that were used","jcmd - Sends diagnostic command requests to a running Java VirtualMachine (JVM). The jcmd utility is used to send diagnostic command requests to theJVM. It must be used on the same machine on which the JVM is running,and have the same effective user and group identifiers that were used"
jconsole - Starts a graphical console that lets you monitor and manageJava applications.,The jconsole command starts a graphical console tool that lets youmonitor and manage Java applications and virtual machines on a local orremote machine.,jconsole - Starts a graphical console that lets you monitor and manageJava applications. The jconsole command starts a graphical console tool that lets youmonitor and manage Java applications and virtual machines on a local orremote machine.
jdb - Finds and fixes bugs in Java platform programs.,The Java Debugger (JDB) is a simple command-line debugger for Javaclasses. The jdb command and its options call the JDB. The jdb commanddemonstrates the Java Platform Debugger Architecture (JDBA) and,jdb - Finds and fixes bugs in Java platform programs. The Java Debugger (JDB) is a simple command-line debugger for Javaclasses. The jdb command and its options call the JDB. The jdb commanddemonstrates the Java Platform Debugger Architecture (JDBA) and
jdeps - Java class dependency analyzer.,"The jdeps command shows the package-level or class-level dependenciesof Java class files. The input class can be a path name to a .classfile, a directory, a JAR file, or it can be a fully qualified class","jdeps - Java class dependency analyzer. The jdeps command shows the package-level or class-level dependenciesof Java class files. The input class can be a path name to a .classfile, a directory, a JAR file, or it can be a fully qualified class"
jhat - Analyzes the Java heap. This command is experimental andunsupported.,The jhat command parses a Java heap dump file and starts a web server.The jhat command lets you to browse heap dumps with your favorite webbrowser. The jhat command supports predesigned queries such as show all,jhat - Analyzes the Java heap. This command is experimental andunsupported. The jhat command parses a Java heap dump file and starts a web server.The jhat command lets you to browse heap dumps with your favorite webbrowser. The jhat command supports predesigned queries such as show all
jinfo - Generates configuration information. This command isexperimental and unsupported.,The jinfo command prints Java configuration information for a specifiedJava process or core file or a remote debug server. The configurationinformation includes Java system properties and Java Virtual Machine,jinfo - Generates configuration information. This command isexperimental and unsupported. The jinfo command prints Java configuration information for a specifiedJava process or core file or a remote debug server. The configurationinformation includes Java system properties and Java Virtual Machine
jjs - Invokes the Nashorn engine.,"The jjs command-line tool is used to invoke the Nashorn engine. You canuse it to interpret one or several script files, or to run aninteractive shell.","jjs - Invokes the Nashorn engine. The jjs command-line tool is used to invoke the Nashorn engine. You canuse it to interpret one or several script files, or to run aninteractive shell."
"jmap - Prints shared object memory maps or heap memory details for aprocess, core file, or remote debug server. This command isexperimental and unsupported.","The jmap command prints shared object memory maps or heap memorydetails of a specified process, core file, or remote debug server. Ifthe specified process is running on a 64-bit Java Virtual Machine","jmap - Prints shared object memory maps or heap memory details for aprocess, core file, or remote debug server. This command isexperimental and unsupported. The jmap command prints shared object memory maps or heap memorydetails of a specified process, core file, or remote debug server. Ifthe specified process is running on a 64-bit Java Virtual Machine"
join - join lines of two files on a common field,"For each pair of input lines with identical join fields, write a lineto standard output. The default join field is the first, delimited bywhitespace. When FILE1 or FILE2 (not both) is -, read standard input.","join - join lines of two files on a common field For each pair of input lines with identical join fields, write a lineto standard output. The default join field is the first, delimited bywhitespace. When FILE1 or FILE2 (not both) is -, read standard input."
journalctl - Query the systemd journal,journalctl may be used to query the contents of the systemd(1) journalas written by systemd-journald.service(8).,journalctl - Query the systemd journal journalctl may be used to query the contents of the systemd(1) journalas written by systemd-journald.service(8).
jps - Lists the instrumented Java Virtual Machines (JVMs) on the targetsystem. This command is experimental and unsupported.,The jps command lists the instrumented Java HotSpot VMs on the targetsystem. The command is limited to reporting information on JVMs forwhich it has the access permissions.,jps - Lists the instrumented Java Virtual Machines (JVMs) on the targetsystem. This command is experimental and unsupported. The jps command lists the instrumented Java HotSpot VMs on the targetsystem. The command is limited to reporting information on JVMs forwhich it has the access permissions.
jrunscript - Runs a command-line script shell that supports interactiveand batch modes. This command is experimental and unsupported.,The jrunscript command is a language-independent command-line scriptshell. The jrunscript command supports both an interactive (read-eval-print) mode and a batch (-f option) mode of script execution. By,jrunscript - Runs a command-line script shell that supports interactiveand batch modes. This command is experimental and unsupported. The jrunscript command is a language-independent command-line scriptshell. The jrunscript command supports both an interactive (read-eval-print) mode and a batch (-f option) mode of script execution. By
jsadebugd - Attaches to a Java process or core file and acts as a debugserver. This command is experimental and unsupported.,"The jsadebugd command attaches to a Java process or core file and actsas a debug server. Remote clients such as jstack, jmap, and jinfo canattach to the server through Java Remote Method Invocation (RMI).","jsadebugd - Attaches to a Java process or core file and acts as a debugserver. This command is experimental and unsupported. The jsadebugd command attaches to a Java process or core file and actsas a debug server. Remote clients such as jstack, jmap, and jinfo canattach to the server through Java Remote Method Invocation (RMI)."
"jstack - Prints Java thread stack traces for a Java process, core file,or remote debug server. This command is experimental and unsupported.","The jstack command prints Java stack traces of Java threads for aspecified Java process, core file, or remote debug server. For eachJava frame, the full class name, method name, byte code index (BCI),","jstack - Prints Java thread stack traces for a Java process, core file,or remote debug server. This command is experimental and unsupported. The jstack command prints Java stack traces of Java threads for aspecified Java process, core file, or remote debug server. For eachJava frame, the full class name, method name, byte code index (BCI),"
jstat - Monitors Java Virtual Machine (JVM) statistics. This command isexperimental and unsupported.,"The jstat command displays performance statistics for an instrumentedJava HotSpot VM. The target JVM is identified by its virtual machineidentifier, or vmid option.","jstat - Monitors Java Virtual Machine (JVM) statistics. This command isexperimental and unsupported. The jstat command displays performance statistics for an instrumentedJava HotSpot VM. The target JVM is identified by its virtual machineidentifier, or vmid option."
jstatd - Monitors Java Virtual Machines (JVMs) and enables remotemonitoring tools to attach to JVMs. This command is experimental andunsupported.,The jstatd command is an RMI server application that monitors for thecreation and termination of instrumented Java HotSpot VMs and providesan interface to enable remote monitoring tools to attach to JVMs that,jstatd - Monitors Java Virtual Machines (JVMs) and enables remotemonitoring tools to attach to JVMs. This command is experimental andunsupported. The jstatd command is an RMI server application that monitors for thecreation and termination of instrumented Java HotSpot VMs and providesan interface to enable remote monitoring tools to attach to JVMs that
k5srvutil - host key table (keytab) manipulation utility,"k5srvutil allows an administrator to list keys currently in a keytab,to obtain new keys for a principal currently in a keytab, or to deletenon-current keys from a keytab.","k5srvutil - host key table (keytab) manipulation utility k5srvutil allows an administrator to list keys currently in a keytab,to obtain new keys for a principal currently in a keytab, or to deletenon-current keys from a keytab."
kadmin - Kerberos V5 database administration program,"kadmin and kadmin.local are command-line interfaces to the Kerberos V5administration system. They provide nearly identical functionalities;the difference is that kadmin.local directly accesses the KDC database,","kadmin - Kerberos V5 database administration program kadmin and kadmin.local are command-line interfaces to the Kerberos V5administration system. They provide nearly identical functionalities;the difference is that kadmin.local directly accesses the KDC database,"
kbdinfo - obtain information about the status of a console,"kbdinfo is an interface to KDGETMODE, GKBMODE, GKBMETA and GKBLEDioctls. Its primary use case is to query the status of the given CON‐SOLE (or the currently active one, if no -C option is present) from a","kbdinfo - obtain information about the status of a console kbdinfo is an interface to KDGETMODE, GKBMODE, GKBMETA and GKBLEDioctls. Its primary use case is to query the status of the given CON‐SOLE (or the currently active one, if no -C option is present) from a"
kbdrate - reset the keyboard repeat rate and delay time,kbdrate is used to change the keyboard repeat rate and delay time. Thedelay is the amount of time that a key must be depressed before it willstart to repeat.,kbdrate - reset the keyboard repeat rate and delay time kbdrate is used to change the keyboard repeat rate and delay time. Thedelay is the amount of time that a key must be depressed before it willstart to repeat.
kbd_mode - report or set the keyboard mode,"Without argument, kbd_mode prints the current keyboard mode (RAW, MEDI‐UMRAW or XLATE). With argument, it sets the keyboard mode as indi‐cated:","kbd_mode - report or set the keyboard mode Without argument, kbd_mode prints the current keyboard mode (RAW, MEDI‐UMRAW or XLATE). With argument, it sets the keyboard mode as indi‐cated:"
kdestroy - destroy Kerberos tickets,"The kdestroy utility destroys the user's active Kerberos authorizationtickets by overwriting and deleting the credentials cache that containsthem. If the credentials cache is not specified, the default creden‐","kdestroy - destroy Kerberos tickets The kdestroy utility destroys the user's active Kerberos authorizationtickets by overwriting and deleting the credentials cache that containsthem. If the credentials cache is not specified, the default creden‐"
kdumpctl - control interface for kdump,"kdumpctl is used to check or control the kdump service. In most cases,you should use systemctl to start / stop / enable kdump serviceinstead. However, kdumpctl provides more details for debug and a helper","kdumpctl - control interface for kdump kdumpctl is used to check or control the kdump service. In most cases,you should use systemctl to start / stop / enable kdump serviceinstead. However, kdumpctl provides more details for debug and a helper"
kernel-install - Add and remove kernel and initramfs images to and from/boot,kernel-install is used to install and remove kernel and initramfsimages to and from /boot.,kernel-install - Add and remove kernel and initramfs images to and from/boot kernel-install is used to install and remove kernel and initramfsimages to and from /boot.
keyctl - Key management facility control,This program is used to control the key management facility in variousways using a variety of subcommands.,keyctl - Key management facility control This program is used to control the key management facility in variousways using a variety of subcommands.
"keytool - Manages a keystore (database) of cryptographic keys, X.509certificate chains, and trusted certificates.",The keytool command is a key and certificate management utility. Itenables users to administer their own public/private key pairs andassociated certificates for use in self-authentication (where the user,"keytool - Manages a keystore (database) of cryptographic keys, X.509certificate chains, and trusted certificates. The keytool command is a key and certificate management utility. Itenables users to administer their own public/private key pairs andassociated certificates for use in self-authentication (where the user"
kill - terminate a process,"The command kill sends the specified signal to the specified process orprocess group. If no signal is specified, the TERM signal is sent.The TERM signal will kill processes which do not catch this signal.","kill - terminate a process The command kill sends the specified signal to the specified process orprocess group. If no signal is specified, the TERM signal is sent.The TERM signal will kill processes which do not catch this signal."
killall - kill processes by name,"killall sends a signal to all processes running any of the specifiedcommands. If no signal name is specified, SIGTERM is sent.","killall - kill processes by name killall sends a signal to all processes running any of the specifiedcommands. If no signal name is specified, SIGTERM is sent."
kinit - obtain and cache Kerberos ticket-granting ticket,"kinit obtains and caches an initial ticket-granting ticket for princi‐pal. If principal is absent, kinit chooses an appropriate principalname based on existing credential cache contents or the local username","kinit - obtain and cache Kerberos ticket-granting ticket kinit obtains and caches an initial ticket-granting ticket for princi‐pal. If principal is absent, kinit chooses an appropriate principalname based on existing credential cache contents or the local username"
klist - list cached Kerberos tickets,"klist lists the Kerberos principal and Kerberos tickets held in a cre‐dentials cache, or the keys held in a keytab file.","klist - list cached Kerberos tickets klist lists the Kerberos principal and Kerberos tickets held in a cre‐dentials cache, or the keys held in a keytab file."
kmod - Program to manage Linux Kernel modules,kmod is a multi-call binary which implements the programs used tocontrol Linux Kernel modules. Most users will only run it using itsother names.,kmod - Program to manage Linux Kernel modules kmod is a multi-call binary which implements the programs used tocontrol Linux Kernel modules. Most users will only run it using itsother names.
kpasswd - change a user's Kerberos password,"The kpasswd command is used to change a Kerberos principal's password.kpasswd first prompts for the current Kerberos password, then promptsthe user twice for the new password, and the password is changed.","kpasswd - change a user's Kerberos password The kpasswd command is used to change a Kerberos principal's password.kpasswd first prompts for the current Kerberos password, then promptsthe user twice for the new password, and the password is changed."
krb5-config - tool for linking against MIT Kerberos libraries,krb5-config tells the application programmer what flags to use to com‐pile and link programs against the installed Kerberos libraries.,krb5-config - tool for linking against MIT Kerberos libraries krb5-config tells the application programmer what flags to use to com‐pile and link programs against the installed Kerberos libraries.
ksu - Kerberized super-user,"ksu is a Kerberized version of the su program that has two missions:one is to securely change the real and effective user ID to that of thetarget user, and the other is to create a new security context.","ksu - Kerberized super-user ksu is a Kerberized version of the su program that has two missions:one is to securely change the real and effective user ID to that of thetarget user, and the other is to create a new security context."
kswitch - switch primary ticket cache,"kswitch makes the specified credential cache the primary cache for thecollection, if a cache collection is available.","kswitch - switch primary ticket cache kswitch makes the specified credential cache the primary cache for thecollection, if a cache collection is available."
